Infinitive,обзаводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обзаводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обзаводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обзаводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обзаводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обзавожу́сь
2nd Sing,обзаво́дишься
3rd Sing,обзаво́дится
1st Pl,обзаво́димся
2nd Pl,обзаво́дитесь
3rd Pl,обзаво́дятся
Past M,обзаводи́лся
Past F,обзаводи́лась
Past N,обзаводи́лось
Past PL,обзаводи́лись
Imp S,обзаводи́сь
Imp PL,обзаводи́тесь
