Infinitive,обре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обре́жу
2nd Sing,обре́жешь
3rd Sing,обре́жет
1st Pl,обре́жем
2nd Pl,обре́жете
3rd Pl,обре́жут
Past M,обре́зал
Past F,обре́зала
Past N,обре́зало
Past PL,обре́зали
Imp S,обре́жь
Imp PL,обре́жьте
