Infinitive,обрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обре́тший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обретённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обретя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обре́тши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрету́
2nd Sing,обретёшь
3rd Sing,обретёт
1st Pl,обретём
2nd Pl,обретёте
3rd Pl,обрету́т
Past M,обрёл
Past F,обрела́
Past N,обрело́
Past PL,обрели́
Imp S,обрети́
Imp PL,обрети́те
