Infinitive,оби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обобью́
2nd Sing,обобьёшь
3rd Sing,обобьёт
1st Pl,обобьём
2nd Pl,обобьёте
3rd Pl,обобью́т
Past M,оби́л
Past F,оби́ла
Past N,оби́ло
Past PL,оби́ли
Imp S,обе́й
Imp PL,обе́йте
