Infinitive,обрета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обрета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обрета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрета́юсь
2nd Sing,обрета́ешься
3rd Sing,обрета́ется
1st Pl,обрета́емся
2nd Pl,обрета́етесь
3rd Pl,обрета́ются
Past M,обрета́лся
Past F,обрета́лась
Past N,обрета́лось
Past PL,обрета́лись
Imp S,обрета́йся
Imp PL,обрета́йтесь
