Infinitive,обучи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обучи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обучи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обучу́сь
2nd Sing,обу́чишься
3rd Sing,обу́чится
1st Pl,обу́чимся
2nd Pl,обу́читесь
3rd Pl,обу́чатся
Past M,обучи́лся
Past F,обучи́лась
Past N,обучи́лось
Past PL,обучи́лись
Imp S,обучи́сь
Imp PL,обучи́тесь
