Infinitive,обу́глить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обу́гливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обу́гленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обу́глив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обу́гливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обу́глю
2nd Sing,обу́глишь
3rd Sing,обу́глит
1st Pl,обу́глим
2nd Pl,обу́глите
3rd Pl,обу́глят
Past M,обу́глил
Past F,обу́глила
Past N,обу́глило
Past PL,обу́глили
Imp S,обу́гли
Imp PL,обу́глите
