Infinitive,обле́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обля́гу
2nd Sing,обля́жешь
3rd Sing,обля́жет
1st Pl,обля́жем
2nd Pl,обля́жете
3rd Pl,обля́гут
Past M,облёг
Past F,облегла́
Past N,облегло́
Past PL,облегли́
Imp S,обля́г
Imp PL,обля́гте
