Infinitive,облива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,облива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,облива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,облива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облива́юсь
2nd Sing,облива́ешься
3rd Sing,облива́ется
1st Pl,облива́емся
2nd Pl,облива́етесь
3rd Pl,облива́ются
Past M,облива́лся
Past F,облива́лась
Past N,облива́лось
Past PL,облива́лись
Imp S,облива́йся
Imp PL,облива́йтесь
