Infinitive,облупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облу́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,облупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облуплю́
2nd Sing,облу́пишь
3rd Sing,облу́пит
1st Pl,облу́пим
2nd Pl,облу́пите
3rd Pl,облу́пят
Past M,облупи́л
Past F,облупи́ла
Past N,облупи́ло
Past PL,облупи́ли
Imp S,облупи́
Imp PL,облупи́те
