Infinitive,обескура́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обескура́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обескура́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обескура́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обескура́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обескура́жу
2nd Sing,обескура́жишь
3rd Sing,обескура́жит
1st Pl,обескура́жим
2nd Pl,обескура́жите
3rd Pl,обескура́жат
Past M,обескура́жил
Past F,обескура́жила
Past N,обескура́жило
Past PL,обескура́жили
Imp S,обескура́жь
Imp PL,обескура́жьте
