Infinitive,обсади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обсади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обсади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обсади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обсажу́
2nd Sing,обса́дишь
3rd Sing,обса́дит
1st Pl,обса́дим
2nd Pl,обса́дите
3rd Pl,обса́дят
Past M,обсади́л
Past F,обсади́ла
Past N,обсади́ло
Past PL,обсади́ли
Imp S,обсади́
Imp PL,обсади́те
