Infinitive,облома́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облома́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обло́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облома́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,облома́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облома́ю
2nd Sing,облома́ешь
3rd Sing,облома́ет
1st Pl,облома́ем
2nd Pl,облома́ете
3rd Pl,облома́ют
Past M,облома́л
Past F,облома́ла
Past N,облома́ло
Past PL,облома́ли
Imp S,облома́й
Imp PL,облома́йте
