Infinitive,ободра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ободра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ободра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ободра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обдеру́
2nd Sing,обдерёшь
3rd Sing,обдерёт
1st Pl,обдерём
2nd Pl,обдерёте
3rd Pl,обдеру́т
Past M,ободра́л
Past F,ободрала́
Past N,ободра́ло
Past PL,ободра́ли
Imp S,обдери́
Imp PL,обдери́те
