Infinitive,обойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обойдённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обойдя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обоше́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обойду́
2nd Sing,обойдёшь
3rd Sing,обойдёт
1st Pl,обойдём
2nd Pl,обойдёте
3rd Pl,обойду́т
Past M,обошёл
Past F,обошла́
Past N,обошло́
Past PL,обошли́
Imp S,обойди́
Imp PL,обойди́те
