Infinitive,образо́вываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,образо́вывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,образо́вывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,образо́вываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,образо́вывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,образо́вываюсь
2nd Sing,образо́вываешься
3rd Sing,образо́вывается
1st Pl,образо́вываемся
2nd Pl,образо́вываетесь
3rd Pl,образо́вываются
Past M,образо́вывался
Past F,образо́вывалась
Past N,образо́вывалось
Past PL,образо́вывались
Imp S,образо́вывайся
Imp PL,образо́вывайтесь
