Infinitive,обра́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обра́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обра́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обра́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обра́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обра́дую
2nd Sing,обра́дуешь
3rd Sing,обра́дует
1st Pl,обра́дуем
2nd Pl,обра́дуете
3rd Pl,обра́дуют
Past M,обра́довал
Past F,обра́довала
Past N,обра́довало
Past PL,обра́довали
Imp S,обра́дуй
Imp PL,обра́дуйте
