Infinitive,обозна́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обозна́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обозна́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обозна́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обозна́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обозна́чу
2nd Sing,обозна́чишь
3rd Sing,обозна́чит
1st Pl,обозна́чим
2nd Pl,обозна́чите
3rd Pl,обозна́чат
Past M,обозна́чил
Past F,обозна́чила
Past N,обозна́чило
Past PL,обозна́чили
Imp S,обозна́чь
Imp PL,обозна́чьте
