Infinitive,обя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,обязу́ющийся
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,обя́зывавшийся
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,обя́зываясь
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,обязу́ясь
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,обя́зывавшись
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обя́зываюсь
2nd Sing,обя́зываешься
3rd Sing,обя́зывается
1st Pl,обя́зываемся
2nd Pl,обя́зываетесь
3rd Pl,обя́зываются
Past M,обя́зывался
Past F,обя́зывалась
Past N,обя́зывалось
Past PL,обя́зывались
Imp S,обя́зывайся
Imp PL,обя́зывайтесь
