Infinitive,обозва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обозва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обо́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обозва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обозва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обзову́
2nd Sing,обзовёшь
3rd Sing,обзовёт
1st Pl,обзовём
2nd Pl,обзовёте
3rd Pl,обзову́т
Past M,обозва́л
Past F,обозвала́
Past N,обозва́ло
Past PL,обозва́ли
Imp S,обзови́
Imp PL,обзови́те
