Infinitive,обра́доваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обра́довавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обра́довавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обра́дуюсь
2nd Sing,обра́дуешься
3rd Sing,обра́дуется
1st Pl,обра́дуемся
2nd Pl,обра́дуетесь
3rd Pl,обра́дуются
Past M,обра́довался
Past F,обра́довалась
Past N,обра́довалось
Past PL,обра́довались
Imp S,обра́дуйся
Imp PL,обра́дуйтесь
