Infinitive,обли́ть
Zaliznyak Class,11*b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́блитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обли́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,обли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,обли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,оболью́
2nd Sing,обольёшь
3rd Sing,обольёт
1st Pl,обольём
2nd Pl,обольёте
3rd Pl,оболью́т
Past M,о́блил
Past F,облила́
Past N,о́блило
Past PL,о́блили
Imp S,обле́й
Imp PL,обле́йте
