Infinitive,обма́нываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обма́нывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обма́нывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обма́нываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обма́нывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обма́нываюсь
2nd Sing,обма́нываешься
3rd Sing,обма́нывается
1st Pl,обма́нываемся
2nd Pl,обма́нываетесь
3rd Pl,обма́нываются
Past M,обма́нывался
Past F,обма́нывалась
Past N,обма́нывалось
Past PL,обма́нывались
Imp S,обма́нывайся
Imp PL,обма́нывайтесь
