Infinitive,обраща́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обраща́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обраща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обраща́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обраща́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обраща́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обраща́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обраща́ю
2nd Sing,обраща́ешь
3rd Sing,обраща́ет
1st Pl,обраща́ем
2nd Pl,обраща́ете
3rd Pl,обраща́ют
Past M,обраща́л
Past F,обраща́ла
Past N,обраща́ло
Past PL,обраща́ли
Imp S,обраща́й
Imp PL,обраща́йте
