Infinitive,обрабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обрабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обрабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обрабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обрабо́таю
2nd Sing,обрабо́таешь
3rd Sing,обрабо́тает
1st Pl,обрабо́таем
2nd Pl,обрабо́таете
3rd Pl,обрабо́тают
Past M,обрабо́тал
Past F,обрабо́тала
Past N,обрабо́тало
Past PL,обрабо́тали
Imp S,обрабо́тай
Imp PL,обрабо́тайте
