Infinitive,обката́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обката́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обка́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обката́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обката́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обката́ю
2nd Sing,обката́ешь
3rd Sing,обката́ет
1st Pl,обката́ем
2nd Pl,обката́ете
3rd Pl,обката́ют
Past M,обката́л
Past F,обката́ла
Past N,обката́ло
Past PL,обката́ли
Imp S,обката́й
Imp PL,обката́йте
