Infinitive,обши́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обошью́
2nd Sing,обошьёшь
3rd Sing,обошьёт
1st Pl,обошьём
2nd Pl,обошьёте
3rd Pl,обошью́т
Past M,обши́л
Past F,обши́ла
Past N,обши́ло
Past PL,обши́ли
Imp S,обше́й
Imp PL,обше́йте
