Infinitive,объе́здить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объе́здивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объе́зженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объе́здив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,объе́здивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,объе́зжу
2nd Sing,объе́здишь
3rd Sing,объе́здит
1st Pl,объе́здим
2nd Pl,объе́здите
3rd Pl,объе́здят
Past M,объе́здил
Past F,объе́здила
Past N,объе́здило
Past PL,объе́здили
Imp S,объе́зди
Imp PL,объе́здите
