Infinitive,обмы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обмы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обмы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обмы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обмы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обмо́ю
2nd Sing,обмо́ешь
3rd Sing,обмо́ет
1st Pl,обмо́ем
2nd Pl,обмо́ете
3rd Pl,обмо́ют
Past M,обмы́л
Past F,обмы́ла
Past N,обмы́ло
Past PL,обмы́ли
Imp S,обмо́й
Imp PL,обмо́йте
