Infinitive,обеспоко́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обеспоко́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обеспоко́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обеспоко́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обеспоко́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обеспоко́ю
2nd Sing,обеспоко́ишь
3rd Sing,обеспоко́ит
1st Pl,обеспоко́им
2nd Pl,обеспоко́ите
3rd Pl,обеспоко́ят
Past M,обеспоко́ил
Past F,обеспоко́ила
Past N,обеспоко́ило
Past PL,обеспоко́или
Imp S,обеспоко́й
Imp PL,обеспоко́йте
