Infinitive,обустро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обустро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обустро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обустро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обустро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обустро́ю
2nd Sing,обустро́ишь
3rd Sing,обустро́ит
1st Pl,обустро́им
2nd Pl,обустро́ите
3rd Pl,обустро́ят
Past M,обустро́ил
Past F,обустро́ила
Past N,обустро́ило
Past PL,обустро́или
Imp S,обустро́й
Imp PL,обустро́йте
