Infinitive,обвести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обведу́
2nd Sing,обведёшь
3rd Sing,обведёт
1st Pl,обведём
2nd Pl,обведёте
3rd Pl,обведу́т
Past M,обвёл
Past F,обвела́
Past N,обвело́
Past PL,обвели́
Imp S,обведи́
Imp PL,обведи́те
