Infinitive,обня́ть
Zaliznyak Class,14c/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́бнятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обниму́
2nd Sing,обни́мешь
3rd Sing,обни́мет
1st Pl,обни́мем
2nd Pl,обни́мете
3rd Pl,обни́мут
Past M,обня́л
Past F,обняла́
Past N,обня́ло
Past PL,обня́ли
Imp S,обними́
Imp PL,обними́те
