Infinitive,обновля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обновля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обновля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обновля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обновля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обновля́юсь
2nd Sing,обновля́ешься
3rd Sing,обновля́ется
1st Pl,обновля́емся
2nd Pl,обновля́етесь
3rd Pl,обновля́ются
Past M,обновля́лся
Past F,обновля́лась
Past N,обновля́лось
Past PL,обновля́лись
Imp S,обновля́йся
Imp PL,обновля́йтесь
