Infinitive,обескро́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обескро́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обескро́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обескро́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обескро́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обескро́влю
2nd Sing,обескро́вишь
3rd Sing,обескро́вит
1st Pl,обескро́вим
2nd Pl,обескро́вите
3rd Pl,обескро́вят
Past M,обескро́вил
Past F,обескро́вила
Past N,обескро́вило
Past PL,обескро́вили
Imp S,обескро́вь
Imp PL,обескро́вьте
