Infinitive,обша́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обша́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обша́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обша́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обша́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обша́рю
2nd Sing,обша́ришь
3rd Sing,обша́рит
1st Pl,обша́рим
2nd Pl,обша́рите
3rd Pl,обша́рят
Past M,обша́рил
Past F,обша́рила
Past N,обша́рило
Past PL,обша́рили
Imp S,обша́рь
Imp PL,обша́рьте
