Infinitive,обви́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обви́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обовью́
2nd Sing,обовьёшь
3rd Sing,обовьёт
1st Pl,обовьём
2nd Pl,обовьёте
3rd Pl,обовью́т
Past M,обви́л
Past F,обвила́
Past N,обви́ло
Past PL,обви́ли
Imp S,обве́й
Imp PL,обве́йте
