Infinitive,обезвре́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезвре́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезвре́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезвре́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обезвре́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обезвре́жу
2nd Sing,обезвре́дишь
3rd Sing,обезвре́дит
1st Pl,обезвре́дим
2nd Pl,обезвре́дите
3rd Pl,обезвре́дят
Past M,обезвре́дил
Past F,обезвре́дила
Past N,обезвре́дило
Past PL,обезвре́дили
Imp S,обезвре́дь
Imp PL,обезвре́дьте
