Infinitive,объедини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объедини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объедини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,объединю́сь
2nd Sing,объедини́шься
3rd Sing,объедини́тся
1st Pl,объедини́мся
2nd Pl,объедини́тесь
3rd Pl,объединя́тся
Past M,объедини́лся
Past F,объедини́лась
Past N,объедини́лось
Past PL,объедини́лись
Imp S,объедини́сь
Imp PL,объедини́тесь
