Infinitive,объя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,объя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,объя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обойму́
2nd Sing,обоймёшь
3rd Sing,обоймёт
1st Pl,обоймём
2nd Pl,обоймёте
3rd Pl,обойму́т
Past M,объя́л
Past F,объя́ла
Past N,объя́ло
Past PL,объя́ли
Imp S,обойми́
Imp PL,обойми́те
