Infinitive,объе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,объе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,объе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,объе́ду
2nd Sing,объе́дешь
3rd Sing,объе́дет
1st Pl,объе́дем
2nd Pl,объе́дете
3rd Pl,объе́дут
Past M,объе́хал
Past F,объе́хала
Past N,объе́хало
Past PL,объе́хали
Imp S,объезжа́й
Imp PL,объезжа́йте
