Infinitive,обу́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обу́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обу́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обу́юсь
2nd Sing,обу́ешься
3rd Sing,обу́ется
1st Pl,обу́емся
2nd Pl,обу́етесь
3rd Pl,обу́ются
Past M,обу́лся
Past F,обу́лась
Past N,обу́лось
Past PL,обу́лись
Imp S,обу́йся
Imp PL,обу́йтесь
