Infinitive,облага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,облага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,облага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,облага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облага́юсь
2nd Sing,облага́ешься
3rd Sing,облага́ется
1st Pl,облага́емся
2nd Pl,облага́етесь
3rd Pl,облага́ются
Past M,облага́лся
Past F,облага́лась
Past N,облага́лось
Past PL,облага́лись
Imp S,облага́йся
Imp PL,облага́йтесь
