Infinitive,обнажа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнажа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнажа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнажа́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обнажа́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обнажа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обнажа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обнажа́ю
2nd Sing,обнажа́ешь
3rd Sing,обнажа́ет
1st Pl,обнажа́ем
2nd Pl,обнажа́ете
3rd Pl,обнажа́ют
Past M,обнажа́л
Past F,обнажа́ла
Past N,обнажа́ло
Past PL,обнажа́ли
Imp S,обнажа́й
Imp PL,обнажа́йте
