Infinitive,обрати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обрати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обрати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обращу́
2nd Sing,обрати́шь
3rd Sing,обрати́т
1st Pl,обрати́м
2nd Pl,обрати́те
3rd Pl,обратя́т
Past M,обрати́л
Past F,обрати́ла
Past N,обрати́ло
Past PL,обрати́ли
Imp S,обрати́
Imp PL,обрати́те
