Infinitive,обме́ниваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обме́нивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обме́нивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обме́ниваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обме́нивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обме́ниваюсь
2nd Sing,обме́ниваешься
3rd Sing,обме́нивается
1st Pl,обме́ниваемся
2nd Pl,обме́ниваетесь
3rd Pl,обме́ниваются
Past M,обме́нивался
Past F,обме́нивалась
Past N,обме́нивалось
Past PL,обме́нивались
Imp S,обме́нивайся
Imp PL,обме́нивайтесь
