Infinitive,облачи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,облачи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облачи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,облачу́сь
2nd Sing,облачи́шься
3rd Sing,облачи́тся
1st Pl,облачи́мся
2nd Pl,облачи́тесь
3rd Pl,облача́тся
Past M,облачи́лся
Past F,облачи́лась
Past N,облачи́лось
Past PL,облачи́лись
Imp S,облачи́сь
Imp PL,облачи́тесь
