Infinitive,обомле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обомле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обомле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обомле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обомле́ю
2nd Sing,обомле́ешь
3rd Sing,обомле́ет
1st Pl,обомле́ем
2nd Pl,обомле́ете
3rd Pl,обомле́ют
Past M,обомле́л
Past F,обомле́ла
Past N,обомле́ло
Past PL,обомле́ли
Imp S,обомле́й
Imp PL,обомле́йте
