Infinitive,облысе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,облысе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облысе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,облысе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,облысе́ю
2nd Sing,облысе́ешь
3rd Sing,облысе́ет
1st Pl,облысе́ем
2nd Pl,облысе́ете
3rd Pl,облысе́ют
Past M,облысе́л
Past F,облысе́ла
Past N,облысе́ло
Past PL,облысе́ли
Imp S,облысе́й
Imp PL,облысе́йте
