Infinitive,обле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обле́зу
2nd Sing,обле́зешь
3rd Sing,обле́зет
1st Pl,обле́зем
2nd Pl,обле́зете
3rd Pl,обле́зут
Past M,обле́з
Past F,обле́зла
Past N,обле́зло
Past PL,обле́зли
Imp S,обле́зь
Imp PL,обле́зьте
