Infinitive,обхвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обхвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обхва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обхвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обхвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обхвачу́
2nd Sing,обхва́тишь
3rd Sing,обхва́тит
1st Pl,обхва́тим
2nd Pl,обхва́тите
3rd Pl,обхва́тят
Past M,обхвати́л
Past F,обхвати́ла
Past N,обхвати́ло
Past PL,обхвати́ли
Imp S,обхвати́
Imp PL,обхвати́те
