Infinitive,обойти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обоше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обоше́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обойду́сь
2nd Sing,обойдёшься
3rd Sing,обойдётся
1st Pl,обойдёмся
2nd Pl,обойдётесь
3rd Pl,обойду́тся
Past M,обошёлся
Past F,обошла́сь
Past N,обошло́сь
Past PL,обошли́сь
Imp S,обойди́сь
Imp PL,обойди́тесь
