Infinitive,обвали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обвали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обвали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обвалю́сь
2nd Sing,обва́лишься
3rd Sing,обва́лится
1st Pl,обва́лимся
2nd Pl,обва́литесь
3rd Pl,обва́лятся
Past M,обвали́лся
Past F,обвали́лась
Past N,обвали́лось
Past PL,обвали́лись
Imp S,обвали́сь
Imp PL,обвали́тесь
