Infinitive,обремени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обремени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обременённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обремени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обремени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обременю́
2nd Sing,обремени́шь
3rd Sing,обремени́т
1st Pl,обремени́м
2nd Pl,обремени́те
3rd Pl,обременя́т
Past M,обремени́л
Past F,обремени́ла
Past N,обремени́ло
Past PL,обремени́ли
Imp S,обремени́
Imp PL,обремени́те
