Infinitive,оборва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оборва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оборва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оборву́сь
2nd Sing,оборвёшься
3rd Sing,оборвётся
1st Pl,оборвёмся
2nd Pl,оборвётесь
3rd Pl,оборву́тся
Past M,оборва́лся
Past F,оборвала́сь
Past N,оборвало́сь
Past PL,оборвали́сь
Imp S,оборви́сь
Imp PL,оборви́тесь
