Infinitive,обду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обду́маю
2nd Sing,обду́маешь
3rd Sing,обду́мает
1st Pl,обду́маем
2nd Pl,обду́маете
3rd Pl,обду́мают
Past M,обду́мал
Past F,обду́мала
Past N,обду́мало
Past PL,обду́мали
Imp S,обду́май
Imp PL,обду́майте
