Infinitive,облепи́ть
Zaliznyak Class,4c④
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обле́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,облепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облеплю́
2nd Sing,обле́пишь
3rd Sing,обле́пит
1st Pl,обле́пим
2nd Pl,обле́пите
3rd Pl,обле́пят
Past M,облепи́л
Past F,облепи́ла
Past N,облепи́ло
Past PL,облепи́ли
Imp S,облепи́
Imp PL,облепи́те
