Infinitive,обтере́ть
Zaliznyak Class,9*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обтёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обтёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обтере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обтёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оботру́
2nd Sing,оботрёшь
3rd Sing,оботрёт
1st Pl,оботрём
2nd Pl,оботрёте
3rd Pl,оботру́т
Past M,обтёр
Past F,обтёрла
Past N,обтёрло
Past PL,обтёрли
Imp S,оботри́
Imp PL,оботри́те
