Infinitive,обменя́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обменя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обме́нянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обменя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обменя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обменя́ю
2nd Sing,обменя́ешь
3rd Sing,обменя́ет
1st Pl,обменя́ем
2nd Pl,обменя́ете
3rd Pl,обменя́ют
Past M,обменя́л
Past F,обменя́ла
Past N,обменя́ло
Past PL,обменя́ли
Imp S,обменя́й
Imp PL,обменя́йте
