Infinitive,обруга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обруга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обру́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обруга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обруга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обруга́ю
2nd Sing,обруга́ешь
3rd Sing,обруга́ет
1st Pl,обруга́ем
2nd Pl,обруга́ете
3rd Pl,обруга́ют
Past M,обруга́л
Past F,обруга́ла
Past N,обруга́ло
Past PL,обруга́ли
Imp S,обруга́й
Imp PL,обруга́йте
