Infinitive,обвини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обвини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обвинённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обвини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обвини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обвиню́
2nd Sing,обвини́шь
3rd Sing,обвини́т
1st Pl,обвини́м
2nd Pl,обвини́те
3rd Pl,обвиня́т
Past M,обвини́л
Past F,обвини́ла
Past N,обвини́ло
Past PL,обвини́ли
Imp S,обвини́
Imp PL,обвини́те
