Infinitive,обостри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обостри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обострённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обостри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обостри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обострю́
2nd Sing,обостри́шь
3rd Sing,обостри́т
1st Pl,обостри́м
2nd Pl,обостри́те
3rd Pl,обостря́т
Past M,обостри́л
Past F,обостри́ла
Past N,обостри́ло
Past PL,обостри́ли
Imp S,обостри́
Imp PL,обостри́те
