Infinitive,обнажи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обнажи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнажи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обнажу́сь
2nd Sing,обнажи́шься
3rd Sing,обнажи́тся
1st Pl,обнажи́мся
2nd Pl,обнажи́тесь
3rd Pl,обнажа́тся
Past M,обнажи́лся
Past F,обнажи́лась
Past N,обнажи́лось
Past PL,обнажи́лись
Imp S,обнажи́сь
Imp PL,обнажи́тесь
