Infinitive,обща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обща́юсь
2nd Sing,обща́ешься
3rd Sing,обща́ется
1st Pl,обща́емся
2nd Pl,обща́етесь
3rd Pl,обща́ются
Past M,обща́лся
Past F,обща́лась
Past N,обща́лось
Past PL,обща́лись
Imp S,обща́йся
Imp PL,обща́йтесь
